repo_full_name,predict,Truth,correct
ibmichroot,1,1,1
celebrer-agent,1,0,0
x509test,1,1,1
docker-volume-netshare,1,1,1
webapps-countingbeads,1,0,0
amazon-instant-access-sdk-php,1,1,1
colorSchemeTool,1,1,1
s2-geometry-library-java,1,1,1
esaml,1,1,1
IntelRackScaleArchitecture,1,0,0
kannotator,1,1,1
intellij-haxe,1,0,0
cisco-yang-puppet-module,1,1,1
NuGetOperations,1,1,1
CODK-A-ARC,1,1,1
gtm-oauth,1,0,0
odo,1,1,1
zantcp-boilerplate,1,1,1
koa-restql,1,0,0
karma-gwt,0,0,1
galaxy-fds-migration-tool,0,0,1
certificate-transparency,1,1,1
blog,1,1,1
pdt-code-samples,1,1,1
yelp-python,1,1,1
MagicProgressWidget,1,1,1
pagerduty-incidents,1,1,1
systemtap-toolkit,1,1,1
goldfinch,1,1,1
mps-maven-plugin,1,1,1
checkstyle,1,1,1
ccs-caldavtester,1,1,1
rustcxx,0,0,1
teamcity-build-agents-diff,1,1,1
webkit_inspection_protocol.dart,1,1,1
mutornadomon,1,1,1
token_bind,1,1,1
pysmime,0,1,0
babel-plugin-inline-react-svg,1,1,1
jpush-swift-demo,1,1,1
griffin,1,1,1
arcanist-owners,1,1,1
dart-gl,1,1,1
Spoon-Knife,0,0,1
techreports,1,0,0
clazz-loaderz,1,1,1
apk-channelization,1,1,1
OpenBLAS,1,1,1
hpe-provisioning-aws-demo,1,0,0
merge_pyi,1,0,0
pageloader,1,1,1
yar-java,1,1,1
falcor-express-demo,1,0,0
wayland-fits,1,1,1
fido,1,1,1
puppet-samples,1,0,0
archaius,1,1,1
meta-runner-power-pack,1,1,1
chef-utils,1,1,1
macaca,1,1,1
fishhook,1,1,1
permissions-sdk-dotnet,1,1,1
bilitw,0,0,1
PayPal-Ruby-SDK,1,1,1
deepin-turbo,1,1,1
fbtftp,1,1,1
avrecode,1,1,1
wear-sensors,1,1,1
react-qiniu,1,0,0
medium-sdk-nodejs,1,1,1
jdk8u_tests,1,1,1
phpstorm-library-plugin,0,1,0
ccs-pyopendirectory,1,0,0
doubles,1,1,1
redis-shard,1,1,1
resharper-phantomjs,1,1,1
gumbo-parser,1,0,0
ibmi-db2util,1,1,1
squidwarden,1,1,1
goterm,1,1,1
rabbitmq-autocluster,1,0,0
GOS-conventions,1,0,0
traceur-compiler,1,0,0
sentry-logger,1,1,1
liquidfun,1,1,1
obi_ios_creditcard_cocoa,1,1,1
example-package-fisheryates,1,1,1
thunderbolt-software-user-space,0,1,0
pyvmomi,1,1,1
iot,1,0,0
balanced-employee-ip-agreement,1,1,1
django-ex,1,1,1
kostyor,1,1,1
apis-client-generator,1,1,1
contrail-webui-third-party,1,1,1
pre-commit,1,0,0
is-touch-device,1,1,1
modem_client,1,0,0
zperfmon,1,1,1
django-cas-ng,1,1,1
square.github.io,1,1,1
qetag,1,1,1
runtime-health,1,1,1
pytest-flakefinder,1,1,1
galaxy-fds-sdk-javascript,0,0,1
php_pgo_training_scripts,1,1,1
lua-resty-mysql,1,1,1
cordova-plugin-intel-xdk-file,1,1,1
objc-netinfo,1,0,0
contrail-neutron-plugin,1,1,1
zonify,1,0,0
templates,1,0,0
supervisor3,1,1,1
dart-json_diff,1,1,1
external-vulkan_hal,1,1,1
vulkan-cpp-library,1,1,1
page-timer,1,1,1
github-1,0,0,1
galaxy-fds-sdk-cpp,1,1,1
node-fs-extra,1,0,0
meta-security-isafw,1,1,1
ngx_token_binding,1,1,1
awesome-java-cn,1,1,1
mdrill,1,1,1
ChassisInfoFetcher,0,1,0
kazoo,1,1,1
arrow,1,1,1
youzan-sdk,1,1,1
wextracto,1,1,1
sawbuck,1,0,0
grocery-delivery,1,1,1
FlameGraph-orig,1,1,1
starter-snake-node,1,1,1
react-starter-kit,1,0,0
git-phabricator-mirror,1,0,0
acme-freight-erp,1,1,1
cordova-plugin-ocf,1,1,1
node-bigfig,1,1,1
SKA-gpu-multiscale-clean,1,1,1
iOSSecAudit,1,1,1
clerk,1,1,1
gtest-parallel,1,1,1
appsforhere,1,0,0
mezzanine,1,0,0
jpush-opensource,1,0,0
drone-firebase,1,0,0
logstash-v2,1,0,0
solaris-openstack-utils,1,0,0
deepin-kwindowsystem,1,1,1
merchant-identifier-reference-app,1,1,1
contrail-third-party-cache,1,1,1
docs,1,1,1
cli,1,1,1
readahead,1,0,0
CODK-A-Manifest,1,1,1
cmrt,1,1,1
